Fecha;Canal;Hora;Programa;Espectadores;Share(%);
2019-04-03;LA2;12:23;LA AVENTURA DEL SABER EXPRESS;62.000;1.7%;
2019-04-03;LA2;12:45;MAÑANAS DE CINE / EL RETORNO DEL BANDOLERO;175.000;2.9%;
2019-04-03;LA2;14:16;S.O.S ALIMENTOS,KARRA AL RESCATE / MALAGA;163.000;1.5%;
2019-04-03;LA2;15:00;LOS TESOROS DEL INDO / LA OTRA CARA DEL TAJ MAHAL;269.000;2.2%;
2019-04-03;LA2;15:48;SABER Y GANAR;1.020.000;8.7%;
2019-04-03;LA2;16:31;GRANDES DOCUMENTALES;495.000;4.7%;
2019-04-03;LA2;16:31;INFIERNO ARABIGO / VIDA Y MUERTE EN LAS DUNAS;558.000;5.1%;
2019-04-03;LA2;17:17;HISTORIAS NATURALES / AMAR PARA VIVIR;435.000;4.3%;
2019-04-03;LA2;18:06;EL CAÇADOR DE VERITATS / ELS FILLS;11.000;0.1%;
2019-04-03;LA2;18:09;D.REG(DOCUMENTA2);257.000;2.7%;
2019-04-03;LA2;18:09;DOCUMENTA2;245.000;2.6%;
2019-04-03;LA2;18:09;D.REG(HUMANOS 3.0) / EL HOMBRE INMORTAL;257.000;2.7%;
2019-04-03;LA2;18:09;HUMANOS 3.0 / EL HOMBRE INMORTAL;245.000;2.6%;
2019-04-03;LA2;18:36;CALIDOSCOPI;15.000;0.2%;
2019-04-03;LA2;19:03;LAS RECETAS DE JULIE / ISLA DE NOIRMOUTIER;193.000;2%;
2019-04-03;LA2;20:04;CONSTRUCCIONES ECOLOGICAS / ENERGIAS POSITIVAS;107.000;0.9%;
2019-04-03;LA2;20:30;LA 2 NOTICIAS;116.000;0.9%;
2019-04-03;LA2;21:01;ESCALA HUMANA / LA CASA POR EL TEJADO;148.000;1%;
2019-04-03;LA2;21:28;ESE PROGRAMA DEL QUE USTED ME HABLA;186.000;1.1%;
2019-04-03;LA2;22:02;DIAS DE CINE CLASICO:PRESENTACION / EL GRADUADO;624.000;3.6%;
2019-04-03;LA2;22:07;DIAS DE CINE CLASICO:PELICULA / EL GRADUADO;643.000;3.7%;
2019-04-03;LA2;23:51;CINE / NOTICIAS DE UNA GUERRA;272.000;2.8%;
2019-04-03;LA2;01:24;CONCIERTOS RADIO 3 / AARON RUX AND THE CRYING COWBOYS;35.000;0.7%;
2019-04-03;LA2;01:49;ESE PROGRAMA DEL QUE USTED ME HABLA;21.000;0.6%;
2019-04-04;LA2;07:01;ZOOM TENDENCIAS;30.000;3.1%;
2019-04-04;LA2;07:30;INGLES ONLINE TVE;23.000;1.7%;
2019-04-04;LA2;07:59;EL LADO OSCURO DE LOS COCODRILOS;38.000;1.8%;
2019-04-04;LA2;08:58;PUEBLO DE DIOS / LA HERENCIA RECIBIDA;27.000;1.3%;
2019-04-04;LA2;09:30;AQUI HAY TRABAJO;27.000;1.2%;
2019-04-04;LA2;09:56;LA AVENTURA DEL SABER;34.000;1.4%;
